sent_malicious_packet_ratio,recv_malicious_packet_ratio,avg_gap_sent_rt,avg_gap_recv_rt,avg_len_sent_frame,avg_len_recv_frame,send_recv_ratio,estimated_behaviour
0,0.24,5.890429,6.251169,253.13208,523.799988,1.06,nocryptojacking
0,0,101.424675,60.85487,379.5,530.166687,0.666667,nocryptojacking
0,0,20.343363,16.967625,299,422.473694,0.842105,nocryptojacking
0,0,0.025657,48.020184,250.833328,457.333344,1,nocryptojacking
0,0,0.071877,61.271023,356.5,520.200012,0.4,nocryptojacking
0,0,0.083593,0.003473,356.5,821.5,1,nocryptojacking
0,0,27.350685,23.130322,332.416656,376.5,0.857143,nocryptojacking
0,0,18.974007,14.448814,331.176483,232,0.772727,nocryptojacking
0,0,31.000069,30.998972,109,106,1,nocryptojacking
0,0,107.229713,0,139,0,0,nocryptojacking
0,0,122.509712,0,139,0,0,nocryptojacking
0,0,0.062073,0.029602,400,476,1,nocryptojacking
0.5,0.030303,14.859583,9.7465,510.409088,389.606049,0.666667,cryptojacking
0.555556,0.057143,11.78694,9.008552,561.59259,456.542847,0.771429,cryptojacking
0.478261,0.029412,13.916483,9.273265,503.478271,386.5,0.676471,cryptojacking
0.44,0.060606,12.975284,9.726488,508.880005,403.515137,0.757576,cryptojacking
0.633333,0.027778,10.53133,8.72117,541.466675,431.916656,0.833333,cryptojacking
0.50794,0.044697,10.765619,8.955601,524.571859,433.22732,0.72912,cryptojacking
0.473013,0.028041,14.07977,8.203761,507.955095,401.46414,0.783977,cryptojacking
0.54666,0.0457,12.083157,9.201859,530.014534,453.605931,0.712794,cryptojacking
0.516497,0.047905,14.71223,8.047662,504.505084,445.846,0.728019,cryptojacking
0.574512,0.03956,10.913536,9.507963,536.779862,414.039963,0.682916,cryptojacking
0.573972,0.04388,12.224065,8.058607,504.746978,435.877956,0.764351,cryptojacking
0.618296,0.02931,12.042169,8.888465,523.08805,389.188538,0.698326,cryptojacking
0.550771,0.040599,12.607944,8.907827,523.515992,443.255474,0.727981,cryptojacking
0.441795,0.044299,14.760805,9.61901,539.234183,441.870971,0.759062,cryptojacking
0.470751,0.047665,13.981363,8.587251,516.430796,438.683505,0.689846,cryptojacking
0.505046,0.043137,13.303189,9.057591,526.825988,409.155017,0.794587,cryptojacking
0.489419,0.056393,14.029149,9.019675,525.987989,450.189055,0.815317,cryptojacking
0.505979,0.039014,11.565648,8.830759,521.812667,392.044326,0.733942,cryptojacking
0.440227,0.039971,13.793871,8.515506,514.845107,451.366558,0.78669,cryptojacking
0.57171,0.054883,11.003546,9.436818,535.207452,390.621446,0.711764,cryptojacking
0.625441,0.051404,11.401741,9.04094,526.457987,387.169837,0.740039,cryptojacking
0.628953,0.033894,11.038537,8.427756,512.905705,426.726911,0.801043,cryptojacking
0.441803,0.045893,14.278646,8.133253,506.396758,395.231832,0.736339,cryptojacking
0.464398,0.053067,12.766093,9.538359,537.451672,409.27277,0.781148,cryptojacking
0.583246,0.05288,12.631421,9.337511,533.012639,418.984424,0.782853,cryptojacking
0.460938,0.027936,13.65509,8.215456,508.213583,438.064481,0.801395,cryptojacking
0.508347,0.035052,10.59226,8.743672,519.88792,455.573886,0.768396,cryptojacking
0.441853,0.033268,10.92866,8.257405,509.140712,386.492925,0.806334,cryptojacking
0.589566,0.045659,14.059387,8.708449,519.109438,431.245754,0.781941,cryptojacking
0.552903,0.046703,14.089014,8.096889,505.593057,435.588842,0.794145,cryptojacking
0.473391,0.046005,14.340595,8.066273,504.916404,383.464104,0.801533,cryptojacking
0.459077,0.039567,14.620718,8.411187,512.539512,428.316946,0.703812,cryptojacking
0.596209,0.042268,12.92691,9.449216,535.481485,434.007727,0.70899,cryptojacking
0.616504,0.04494,10.916643,8.179996,507.42986,421.373132,0.733796,cryptojacking
0.628565,0.03232,14.782873,9.381961,533.995031,410.853855,0.675604,cryptojacking
0.570216,0.049528,12.568505,9.090536,527.554126,454.926001,0.682294,cryptojacking
0.524253,0.032525,13.45459,8.532224,515.214599,408.325586,0.668312,cryptojacking
0.534054,0.031031,14.131212,8.125498,506.225364,440.144746,0.775368,cryptojacking
0.491936,0.0401,13.160853,8.094541,505.541176,387.837474,0.830492,cryptojacking
0.503579,0.04202,12.934811,8.612613,516.991314,388.830414,0.675768,cryptojacking
0.497946,0.028503,12.102053,9.359498,533.498587,444.859608,0.798759,cryptojacking
0.464215,0.052697,13.480276,9.492914,536.447265,391.905952,0.73275,cryptojacking
0.563491,0.058609,14.015036,8.63729,517.536724,406.642995,0.818274,cryptojacking
